Date,ret,equity,spy_equity
2024-02-23,0.00023215557764115946,2.277705313110598,4.968921023433749
2024-02-26,-0.0016904103506349484,2.2738550564736193,4.950721825560178
2024-02-27,0.0009611837863065295,2.276040649086313,4.9599195378904914
2024-02-28,-0.002685065762290475,2.26992933026587,4.953363737837373
2024-02-29,0.007004791440252761,2.285829711808495,4.971171394819564
2024-03-01,0.01234409504677197,2.314046211031794,5.017841426243231
2024-03-04,-0.0029142049606052252,2.3073026060845354,5.012460857319408
2024-03-05,-0.012102494067705874,2.279378489981995,4.962365527608209
2024-03-06,0.005871798609496585,2.2927625414299873,4.987510849515971
2024-03-07,0.011745042240825287,2.3196911343272646,5.037019324231465
2024-03-08,-0.010643613127526194,2.295001239318133,5.006785796101214
2024-03-11,-0.002537085395792706,2.289178625190533,5.002480671661487
2024-03-12,0.01062278746455931,2.3134960831943436,5.0562945750442845
2024-03-13,-0.00563560053864587,2.3004581434217384,5.048369142440276
2024-03-14,-0.0038593259858258656,2.2915799255295264,5.038388956782355
2024-03-15,-0.009175226294043515,2.2705541611419053,5.003792196745203
2024-03-18,0.0070365803655443844,2.2865310979711015,5.03353074660795
2024-03-19,0.0033944661408333286,2.294292650363127,5.061502951159622
2024-03-20,0.009658445669145135,2.316451951275778,5.108318099137437
2024-03-21,0.004020210974782596,2.3257645768328534,5.125199687375756
2024-03-22,0.0012399829824473211,2.328648485329305,5.115482658571793
2024-03-25,-0.003546660765298041,2.320389559110217,5.1013500707177135
2024-03-26,-0.0021530642545886207,2.315393611293776,5.0919278384357
2024-03-27,0.005560234615103244,2.3282677429988805,5.134719576709932
2024-03-28,-0.0012586563534638152,2.32533725401159,5.133738138547077
2024-04-01,-0.0013923661867913581,2.322099533046218,5.124806625346491
2024-04-02,-0.0076538996034091165,2.304326416351159,5.092222634957649
2024-04-03,0.0016329966758276394,2.3080893737290826,5.097816467412829
2024-04-04,-0.011922394039162433,2.280571422737881,5.035592192668555
2024-04-05,0.008377520847267698,2.2996769573755502,5.08819800834376
2024-04-08,0.0003238195412292402,2.300421637712863,5.091044057325008
2024-04-09,0.0036103166610423334,2.3087268882789203,5.096932990529714
2024-04-10,-0.010662850317858628,2.2841092790443867,5.045896989150955
2024-04-11,0.011123474186652754,2.309516509649331,5.083978067625545
2024-04-12,-0.012989257627181092,2.279517604711268,5.013803109388386
2024-04-15,-0.015343047618936219,2.2445428575539794,4.950990154282945
2024-04-16,-0.0012307129870120642,2.2417804695092824,4.941960375575042
2024-04-17,-0.007787238866539243,2.224323189506871,4.912712544793721
2024-04-18,-0.004601949198290993,2.2140869671881798,4.9026036708708025
2024-04-19,-0.014627978091778284,2.1816993515388594,4.859811628368993
2024-04-22,0.00842222526349079,2.200074114934732,4.904566547196512
2024-04-23,0.012287700745615932,2.2271079672772256,4.962767108009627
2024-04-24,0.0010767588793091257,2.229506025556171,4.96041147388223
2024-04-25,-0.0047992138708400954,2.2188061493132003,4.941567922000932
2024-04-26,0.012476379550800403,2.246488816981682,4.988383982661477
2024-04-29,0.004399506212574419,2.256372258488472,5.006049869592864
2024-04-30,-0.01707691891209586,2.2178403723947615,4.926747475595639
2024-05-01,-0.0038799361286192403,2.2092352934063966,4.91074997269559
2024-05-02,0.009713301159106739,2.2306942611425806,4.956681948017865
2024-05-03,0.015247093275475215,2.2647058646112885,5.018122228296647
2024-05-06,0.01047333708144755,2.288424892521694,5.069943136823629
2024-05-07,1.2695814696194634e-05,2.2884539459400757,5.07553788196154
2024-05-08,-0.0008641016943366866,2.286476489007977,5.076027688360237
2024-05-09,0.004750777703833358,2.2973390305322954,5.1052752149139815
2024-05-10,0.0025199681400945462,2.3031282516962324,5.111852006669901
2024-05-13,0.00016206752920413066,2.303501514001425,5.112538344083231
2024-05-14,0.006165251542493708,2.317703180263759,5.135994898712008
2024-05-15,0.014319762252639288,2.3508921387773216,5.199594282103555
2024-05-16,-0.002228579333595854,2.3456529891413296,5.188895815136737
2024-05-17,0.001797438175393212,2.349869155370237,5.196354866865465
2024-05-20,0.004843048354181321,2.3612496853156943,5.202343282487794
2024-05-21,0.0017711994832032894,2.3654319295380395,5.215101370149753
2024-05-22,-0.002999390195531198,2.3583370762003866,5.200085913867713
2024-05-23,-0.0071264316645639,2.341530548184837,5.162103100900438
2024-05-24,0.007503668030780625,2.3591006161023484,5.196257514040879
2024-05-28,0.0032338696006531265,2.366729639869644,5.1998893828530806
2024-05-29,-0.007486493478507297,2.34901113385537,5.163476384182251
2024-05-30,-0.007616867650862865,2.3311190269383903,5.129222792851763
2024-05-31,0.0006558542444717187,2.3326479012465766,5.175940588004993
2024-06-03,0.004899775659411659,2.344077352655082,5.1801614414059385
2024-06-04,0.001413463210134232,2.3473906197547687,5.185952717558481
2024-06-05,0.016539936813937256,2.3862163122831412,5.247588007714012
2024-06-06,0.0004913780814367743,2.387388846676564,5.247488829523966
2024-06-07,-0.005228333059420046,2.3749067826437944,5.24111039414814
2024-06-10,0.00393083441155116,2.384242147949237,5.257303819607668
2024-06-11,0.005387530589743522,2.397087325454669,5.269965162900195
2024-06-12,0.010488315724900887,2.4222287341441957,5.313247620255855
2024-06-13,0.0034416145074120906,2.4305651116958966,5.323945478767519
2024-06-14,0.004875361198745159,2.4424149945324825,5.327184285550456
2024-06-17,0.008501428689881772,2.463179011439598,5.369583266023001
2024-06-18,0.0015813534169887846,2.4670741679859933,5.383225439023231
2024-06-20,-0.004316471412163789,2.456425112868194,5.3686024363153
2024-06-21,-0.0035646664203005194,2.44766877675437,5.361404411847493
2024-06-24,-0.007177459541864122,2.430100733137331,5.343975822426033
2024-06-25,0.007379469187489833,2.4480335866200145,5.364556209543456
2024-06-26,0.00010968652323210945,2.4483021029128866,5.371251041599186
2024-06-27,0.0032561065960866513,2.4562740355393937,5.379718911972684
2024-06-28,-0.0048048059267293145,2.444472115495763,5.35854832335621
2024-07-01,0.0037060117973622283,2.453531357994113,5.36957778992662
2024-07-02,0.008293101790802776,2.4738787432928846,5.4057127245922265
2024-07-03,0.007757109188907621,2.493068890824725,5.429837362979723
2024-07-05,0.009395979696049146,2.516493715503766,5.4611472482767995
2024-07-08,0.0005221863749597311,2.5178077942346744,5.467449626758418
2024-07-09,0.0007924891570781835,2.519803129611212,5.472766916346259
2024-07-10,0.009291515121694018,2.543215918493687,5.526921250387531
2024-07-11,-0.013433651151048153,2.50905124304285,5.47926400047705
2024-07-12,0.005249153957532506,2.5222216393049206,5.5138254701152905
2024-07-15,0.002257103258273413,2.5279145539850836,5.528989389454825
2024-07-16,0.004296518922299818,2.5387757867002376,5.56177660386499
2024-07-17,-0.02205137561686603,2.4827922882207063,5.483793949096055
2024-07-18,-0.005795869517276041,2.46840234807968,5.441651128243202
2024-07-19,-0.009154519650833505,2.445805310278021,5.4055155851224415
2024-07-22,0.011494284729830667,2.4739180929080886,5.4612470349220015
2024-07-23,-0.0022191775343627603,2.4684280294544534,5.452679986358458
2024-07-24,-0.028672226605825427,2.397652701633764,5.3291088292014885
2024-07-25,-0.009356992221582653,2.37521788395452,5.301341978264179
2024-07-26,0.010391966370020295,2.399901068326046,5.360715640613552
2024-07-29,0.001401550073360013,2.403264649844415,5.363866221399207
2024-07-30,-0.00847405019460216,2.3828992645707205,5.3366901804161015
2024-07-31,0.023919973256426,2.439898151252009,5.42343580630806
2024-08-01,-0.01835753425725973,2.3951076373561757,5.346635379902688
2024-08-02,-0.018151910713832493,2.351631857372868,5.247088466032861
